АВС/ DEF;От;До;Емкость;Оператор;Регион
301;4599800;4599899;100;Ростелеком;Селенгинский |Республика Бурятия
301;4651610;4651659;50;Ростелеком;Тарбагатайский |Республика Бурятия
301;4653400;4653549;150;Ростелеком;Тарбагатайский |Республика Бурятия
301;4653550;4653570;21;Ростелеком;Тарбагатайский |Республика Бурятия
301;4654100;4654249;150;Ростелеком;Тарбагатайский |Республика Бурятия
301;4655100;4656499;1400;Ростелеком;Тарбагатайский |Республика Бурятия
301;4656500;4656599;100;Ростелеком;Тарбагатайский |Республика Бурятия
301;4657100;4657449;350;Ростелеком;Тарбагатайский |Республика Бурятия
301;4658110;4658159;50;Ростелеком;Тарбагатайский |Республика Бурятия
301;4658210;4658259;50;Ростелеком;Тарбагатайский |Республика Бурятия
301;4658300;4658559;260;Ростелеком;Тарбагатайский |Республика Бурятия
301;4741000;4742699;1700;Ростелеком;Тункинский |Республика Бурятия
301;4742700;4742730;31;Ростелеком;Тункинский |Республика Бурятия
301;4743000;4743099;100;Ростелеком;Тункинский |Республика Бурятия
301;4792200;4792599;400;Ростелеком;Тункинский |Республика Бурятия
301;4793000;4793349;350;Ростелеком;Тункинский |Республика Бурятия
301;4793400;4793499;100;Ростелеком;Тункинский |Республика Бурятия
301;4793600;4793699;100;Ростелеком;Тункинский |Республика Бурятия
301;4793800;4793849;50;Ростелеком;Тункинский |Республика Бурятия
301;4794100;4794299;200;Ростелеком;Тункинский |Республика Бурятия
301;4795500;4795599;100;Ростелеком;Тункинский |Республика Бурятия
301;4796100;4796149;50;Ростелеком;Тункинский |Республика Бурятия
301;4796300;4796349;50;Ростелеком;Тункинский |Республика Бурятия
301;4796500;4796549;50;Ростелеком;Тункинский |Республика Бурятия
301;4796600;4796799;200;Ростелеком;Тункинский |Республика Бурятия
301;4797100;4797111;12;Ростелеком;Тункинский |Республика Бурятия
301;4797300;4797899;600;Ростелеком;Тункинский |Республика Бурятия
301;4798100;4798199;100;Ростелеком;Тункинский |Республика Бурятия
301;4799300;4799449;150;Ростелеком;Тункинский |Республика Бурятия
301;4820100;4820259;160;Ростелеком;Хоринский |Республика Бурятия
301;4820610;4820659;50;Ростелеком;Хоринский |Республика Бурятия
301;4821000;4821299;300;Ростелеком;Хоринский |Республика Бурятия
301;4821300;4821326;27;Ростелеком;Хоринский |Республика Бурятия
301;4822000;4823999;2000;Ростелеком;Хоринский |Республика Бурятия
301;4824110;4824159;50;Ростелеком;Хоринский |Республика Бурятия
301;4824310;4824359;50;Ростелеком;Хоринский |Республика Бурятия
301;4824510;4824559;50;Ростелеком;Хоринский |Республика Бурятия
301;4824610;4824659;50;Ростелеком;Хоринский |Республика Бурятия
301;4824700;4824799;100;Ростелеком;Хоринский |Республика Бурятия
301;4825100;4825299;200;Ростелеком;Хоринский |Республика Бурятия
301;4825600;4825699;100;Ростелеком;Хоринский |Республика Бурятия
301;4826100;4826249;150;Ростелеком;Хоринский |Республика Бурятия
301;4826600;4826699;100;Ростелеком;Хоринский |Республика Бурятия
301;4827110;4827159;50;Ростелеком;Хоринский |Республика Бурятия
301;4827300;4827399;100;Ростелеком;Хоринский |Республика Бурятия
301;4828400;4828749;350;Ростелеком;Хоринский |Республика Бурятия
301;4829200;4829359;160;Ростелеком;Хоринский |Республика Бурятия
301;4829410;4829459;50;Ростелеком;Хоринский |Республика Бурятия
301;4829610;4829659;50;Ростелеком;Хоринский |Республика Бурятия
301;4941000;4942249;1250;Ростелеком;Курумканский |Республика Бурятия
301;4942250;4942278;29;Ростелеком;Курумканский |Республика Бурятия
301;4943000;4943199;200;Ростелеком;Курумканский |Республика Бурятия
301;4991100;4991199;100;Ростелеком;Курумканский |Республика Бурятия
301;4991500;4991699;200;Ростелеком;Курумканский |Республика Бурятия
301;4992100;4992449;350;Ростелеком;Курумканский |Республика Бурятия
301;4992500;4992549;50;Ростелеком;Курумканский |Республика Бурятия
301;4992600;4992799;200;Ростелеком;Курумканский |Республика Бурятия
301;4993500;4993799;300;Ростелеком;Курумканский |Республика Бурятия
301;4995200;4995399;200;Ростелеком;Курумканский |Республика Бурятия
301;4996300;4996549;250;Ростелеком;Курумканский |Республика Бурятия
301;4997600;4997699;100;Ростелеком;Курумканский |Республика Бурятия
301;4998200;4998399;200;Ростелеком;Курумканский |Республика Бурятия
301;5051100;5051799;700;Ростелеком;Окинский |Республика Бурятия
301;5051800;5051813;14;Ростелеком;Окинский |Республика Бурятия
301;5053100;5053299;200;Ростелеком;Окинский |Республика Бурятия
301;5056100;5056149;50;Ростелеком;Окинский |Республика Бурятия
301;5056200;5056299;100;Ростелеком;Окинский |Республика Бурятия
301;5056300;5056399;100;"Красноярское конструкторское бюро ""Искра""";Окинский |Республика Бурятия
301;5341000;5342999;2000;Ростелеком;Баунтовский |Республика Бурятия
301;5353210;5353259;50;Ростелеком;Баунтовский |Республика Бурятия
301;5354100;5354199;100;"Красноярское конструкторское бюро ""Искра";Баунтовский |Республика Бурятия
301;5354200;5354349;150;Ростелеком;Баунтовский |Республика Бурятия
301;5354400;5354599;200;Ростелеком;Баунтовский |Республика Бурятия
301;5355000;5355599;600;Ростелеком;Баунтовский |Республика Бурятия
301;5356200;5356349;150;Ростелеком;Баунтовский |Республика Бурятия
301;5357100;5357199;100;Ростелеком;Баунтовский |Республика Бурятия
302;2200000;2219999;20000;Ростелеком;Чита |Забайкальский край
302;2220000;2229999;10000;Российские железные дороги;Чита |Забайкальский край
302;2230000;2239999;10000;Ростелеком;Чита |Забайкальский край
302;2240000;2244999;5000;Российские железные дороги;Чита |Забайкальский край
302;2245000;2245199;200;Стелла Коммьюникейшн;Чита |Забайкальский край
302;2245200;2245215;16;Ростелеком;Чита |Читинская область
